Category,Value,Order,Question,Answer
"""EPI""SODES",$1000,5,The best example of something,the epitome
"""H"" NAMES",$400,11,In 1919 this winner of the Iron Cross joined what would become the Nazi party,Hitler
"""H"" NAMES",$800,12,This mythical hero stole Hippolyta's girdle as one of his labors,Hercules
"""H"" NAMES",$1200,13,"Born in Dublin, Texas in 1912, this 4-time U.S. Open winner had his own line of golf equipment",Ben Hogan
"""H"" NAMES",$1600,14,This man took office as the 19th president of the U.S. in 1877,Rutherford B. Hayes
"""H"" NAMES",$2000,15,In Genesis 16 this handmaid of Sarah flees the household,Hagar
ACTRESSES & PLAYWRIGHTS,$400,6,"He never forgave Mrs. Patrick Campbell for going off on her honeymoon while rehearsing his ""Pygmalion""",Shaw
ACTRESSES & PLAYWRIGHTS,$800,7,"As a student at Brown University, this actress appeared in a play written by her father, Romulus Linney",Laura Linney
ACTRESSES & PLAYWRIGHTS,"DD: $5,000",8,"Chapter one of her life with Neil Simon began in 1973, when she was cast in his play ""The Good Doctor""",
ACTRESSES & PLAYWRIGHTS,$1600,9,"Appropriately, his wife Armande Bejart made her stage debut in his 1662 play ""The School for Wives""",Molière
ACTRESSES & PLAYWRIGHTS,$2000,10,"This author of the play ""Purlie Victorious"" co-starred in it on Broadway with his wife, Ruby Dee",Ossie Davis
BIOGRAPHY SUBTITLES,$200,7,"A president:""Remembering Jack""",John Kennedy
BIOGRAPHY SUBTITLES,$400,8,"A Frenchman:""The Boy Who Invented Books for the Blind""",(Louis) Braille
BIOGRAPHY SUBTITLES,$600,9,"A Revolutionary War figure:""Sailor, Hero, Father of the American Navy""",John Paul Jones
BIOGRAPHY SUBTITLES,"DD: $1,800",10,"An entrepreneur:""Bargain Billionaire""",Sam Walton
BIOGRAPHY SUBTITLES,$1000,11,"A '60s civil rights leader:""By Any Means Necessary""",Malcolm X
COUNTRY TIME,$400,25,"Nepal's western, eastern & southern boundaries are with this country",India
COUNTRY TIME,$800,30,The U.S. ambassador to Samoa is stationed in Wellington in this country,New Zealand
COUNTRY TIME,$1200,28,In April 1939 this country absorbed Albania,Italy
COUNTRY TIME,$1600,27,"A child prodigy, violinist Yehudi Menuhin was born in this country",the United States
COUNTRY TIME,$2000,26,"What was long ago called Cush, part of Nubia, is considered to be this African country today",Ethiopia
LEMON AID,$400,21,"Mash avocado, add onion, lemon juice & some tomato to get this chip dip",guacamole
LEMON AID,$800,22,"In ""Over The Rainbow"", ""troubles melt like"" these, ""away, above the chimney tops""",lemon drops
LEMON AID,$1200,23,This girl sold lemonade to reporters during her father's 1976 presidential campaign,Amy Carter
LEMON AID,$1600,24,He's the only Lemon in Major League Baseball's Hall of Fame,Bob Lemon
LEMON AID,$2000,29,"According to a children's rhyme, ""Oranges and lemons say the bells of"" this church",St. Clement\'s
LET'S CLEAN UP,$200,26,"If you're using a leaf skimmer, you're probably keeping this clean",your pool
LET'S CLEAN UP,$400,27,"In Pittsburgh, ""redd up"" means tidy up & is usually applied to one of these, like a teenager's",a bedroom
LET'S CLEAN UP,$600,28,"For some light cleaning, it's the 2-word name of the item seen here",a feather duster
LET'S CLEAN UP,$800,29,Men wielding these windshield-cleaning implements are a negative indicator of quality of life in NYC,a squeegee
LET'S CLEAN UP,$1000,30,"It means ""scrub vigorously"" & 3M makes Scotch-Brite pads to do it",to scour
PARDON ME,$200,21,"He was presidentially pardoned September 8, 1974",Nixon
PARDON ME,$400,22,"Though Thomas Blood stole this object important to Charles II from the Tower of London, Charles pardoned him",his crown
PARDON ME,$600,23,"In 1992 President Bush pardoned 6 Iran-Contra figures, saying this was their main motivation",patriotism
PARDON ME,$800,24,This country singer who did time in San Quentin was pardoned by Governor Reagan in 1972,Merle Haggard
PARDON ME,$1000,25,"He fought against Julius Caesar, who pardoned him; a mistake, as he then conspired with Brutus in Caesar's murder",
PLAY TIME,$200,6,"In pinochle, an A-K-Q-J-10 of trump is a royal sequence; in poker, it would be a royal this",a royal flush
PLAY TIME,$400,17,Chutes & Ladders began as a Hindu game of these & ladders,snakes
PLAY TIME,$600,18,One of the tiles in the first word put on a Scrabble board must cover the square with this symbol on it,a star
PLAY TIME,$800,19,A Parcheesi player begins with 4 pieces & can move a maximum of this many of them on one roll of the dice,two
PLAY TIME,$1000,20,"The French call this floor or table game jeu de puce, ""the flea game"", as the disks act like jumping fleas",tiddlywinks
QUOTABLE RECENT MOVIES,$200,12,"2002:""Nice Greek girls who don't find a husband work in the family restaurant""",My Big Fat Greek Wedding
QUOTABLE RECENT MOVIES,$400,13,"2003:""I shall take you to the Black Pearl and your bonny lass""",Pirates of the Caribbean
QUOTABLE RECENT MOVIES,$600,14,"2001:""Keep an eye on the staircases.  They like to change""",Harry Potter and the Sorcerer\'s Stone
QUOTABLE RECENT MOVIES,$800,15,"2003:""God doesn't take vacations... does He?... Do Ye?""",Bruce Almighty
QUOTABLE RECENT MOVIES,$1000,16,"2002:""There's a monster outside my room, can I have a glass of water?""",Signs
SENATORIAL SUCCESSORS,$400,16,2000:Replaces New York's Daniel Patrick Moynihan,Hillary Clinton
SENATORIAL SUCCESSORS,$800,17,1988:Succeeds Connecticut's Lowell Weicker,
SENATORIAL SUCCESSORS,$1200,18,1986:Replaces Arizona's Barry Goldwater,John McCain
SENATORIAL SUCCESSORS,$1600,19,2002:Follows North Carolina's Jesse Helms,Elizabeth Dole
SENATORIAL SUCCESSORS,$2000,20,1998:Replaces New York's Alphonse D'Amato,Chuck Schumer
VOCABULARY,$400,1,Bovine means resembling cattle; this word that's 1 letter shorter means resembling sheep,ovine
VOCABULARY,$800,2,"When in England, if asked to snog, be aware it means this",to kiss
VOCABULARY,$1200,3,"This word for circumstances that lessen a punishment comes from the Latin for ""soft""",mitigating
VOCABULARY,"DD: $2,000",4,"Prefab metal sheets used to print newspapers gave us this term for standard wording, as in contracts",boilerplate
VOCABULARY,$2000,5,"(Sofia of the Clue Crew holds up a fencing sword.)  The weak part of the blade is the foible; the strong part has this ""F"" name that can also mean what you're best at",a forte
"""HA""!",$200,3,"A type of mustache, or a bicycle's steering rod",a handlebar
"""HA""!",$400,5,"To be or not to be this type of small village, that is the question (or in this case, the answer)",a hamlet
"""HA""!",$600,6,The emblem the Soviet Union adopted in 1923,the hammer & sickle
"""HA""!",$800,7,"C'mon, take a chance, just for this flatfish, genus Hippoglossus",the halibut
"""HA""!",$1000,8,The music for this Cuban dance has a slow duple meter,the habañera
A CATEGORY FROM SCRATCH,$400,7,A scratch player in golf is one who plays without this,a handicap
A CATEGORY FROM SCRATCH,$800,8,"Used for flogging, it takes its name from the feline scratch-like marks it left on its victims",a cat-o\'-nine-tails
A CATEGORY FROM SCRATCH,$1200,10,"In nine-ball, whenever you sink this, it's a scratch",the cue ball
A CATEGORY FROM SCRATCH,$1600,11,"This nocturnal mammal's name comes from an Algonquin word for ""he scratches with his hands""",a raccoon
A CATEGORY FROM SCRATCH,$2000,12,"In the Old South he was sometimes known as ""Old Scratch""",the devil (Satan)
A ULYSSES S. GRANT QUICKIE,$200,4,"Grant quipped, ""I only know 2 tunes.  One is"" this patriotic tune ""and the other one isn't""","""Yankee Doodle"""
A ULYSSES S. GRANT QUICKIE,$400,19,The U.S. city where he's entombed,New York City
A ULYSSES S. GRANT QUICKIE,"DD: $1,000",20,His mother's maiden name,Simpson
A ULYSSES S. GRANT QUICKIE,$800,21,The newspaper publisher he defeated in 1872 to win his second term,
A ULYSSES S. GRANT QUICKIE,$1000,22,"Grant & Lee's battle of attrition in the forest May 5-7, 1864",the Wilderness
AL PACINO FILM ROLES,$400,6,Crazed bank robber Sonny,Dog Day Afternoon
AL PACINO FILM ROLES,$800,9,Say hello to my Cuban drug lord Tony Montana,Scarface
AL PACINO FILM ROLES,$1200,14,Manhattan drug addict Bobby,Panic in Needle Park
AL PACINO FILM ROLES,$1600,15,CIA headhunter Walter Burke,The Recruit
AL PACINO FILM ROLES,$2000,16,Playwright Travalian,Author! Author!
CHERCHEZ LA FEMME,$200,1,"Sean Bean,Sean Young,Sean O'Casey",Sean Young
CHERCHEZ LA FEMME,$400,14,"Sidney Lanier,Sydney Greenstreet,Sydney Biddle Barrows",Sydney Biddle Barrows
CHERCHEZ LA FEMME,$600,15,"George Sand,George Sanders,George Santayana",George Sand
CHERCHEZ LA FEMME,$800,16,"Jesse White,Jesse Ventura,Jessie Royce Landis",Jessie Royce Landis
CHERCHEZ LA FEMME,$1000,17,"Terry Kiser,Terry Moore,Terry-Thomas",Terry Moore
CONTEMPORARY ART,$400,26,"Basquiat got attention, not detention, for this type of wall writing in ""Hollywood Africans""",graffiti
CONTEMPORARY ART,$800,27,"Her large installations ""The Dinner Party"" & ""The Holocaust Project"" have been published in book form",
CONTEMPORARY ART,$1200,28,Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,Before Night Falls
CONTEMPORARY ART,DD: $900,29,Christo had the idea for the Central Park project with this title in 1979; it was finally realized in 2005,The Gates
CONTEMPORARY ART,$2000,30,"This artist who died in 1990 created ""Radiant Baby"", which is sold at his art store in New York City",Keith Haring
REMEMBERING ARTHUR MILLER,$400,13,"In the '30s Miller attended this school at Ann Arbor, which he said was ""regarded as a radical enclave""",the University of Michigan
REMEMBERING ARTHUR MILLER,"DD: $3,600",17,"Speaking of this play, Miller said, ""The threat of this kind of hysteria is never really gone.  It's with us always""",The Crucible
REMEMBERING ARTHUR MILLER,$1200,18,"Brian Dennehy, seen here playing ""Jeopardy!"" in 1999, played this Miller character on Broadway that same year",Willy Loman
REMEMBERING ARTHUR MILLER,$1600,19,This scathingly personal drama portrayed Marilyn Monroe as a singer named Maggie,After the Fall
REMEMBERING ARTHUR MILLER,$2000,20,Miller is seen here receiving this highest honor the United States gives for a life of creativity,the National Medal of Arts
THAT'S ILLINOIS-ING,$400,21,Abe Lincoln lived in this city in the 1840s & '50s; his home still stands at Eighth & Jackson,Springfield
THAT'S ILLINOIS-ING,$800,22,"""Will it play in"" this city, headquarters of the earthmoving Caterpillar, Inc.",Peoria
THAT'S ILLINOIS-ING,$1200,23,"Illinois' southernmost city, it shares its name with Africa's largest city (pronounced differently)",Cairo
THAT'S ILLINOIS-ING,$1600,24,"2 state penitentiaries are in or near this northeastern Illinois city, the seat of Will County",Joliet
THAT'S ILLINOIS-ING,$2000,25,"Here's ""de"" story; barbed wire was first perfected & manufactured in this city",DeKalb
THEY CAME TO EGYPT,$200,23,"(Sarah of the Clue Crew reports from Giza, Egypt.)  After seeing the Sphinx he wrote in ""Innocents Abroad"", ""The great face was so sad, so earnest, so longing""",
THEY CAME TO EGYPT,$400,24,"(Jimmy of the Clue Crew reports from Luxor, Egypt.)  Lady Herbert, daughter of this lord, was at the opening of Tut's tomb & lived to age 79--so much for the curse!",Lord Carnarvon
THEY CAME TO EGYPT,$600,28,"(Jimmy of the Clue Crew reports from Luxor, Egypt.)  When he invaded Egypt in 1798 he said, ""Soldiers, from atop of these pyramids, 40 centuries are looking at us""",Napoleon
THEY CAME TO EGYPT,$800,29,"(Sarah of the Clue Crew reports from Giza, Egypt.)  In a letter, this 19th century limerick poet wrote about riding a camel, ""Away you go, just as if on a rocking chair""",Edward Lear
THEY CAME TO EGYPT,$1000,30,"(Jimmy of the Clue Crew reports from Luxor, Egypt.)  One of the people behind moving the other obelisk to Paris was this decipherer of the Rosetta Stone",Champollion
THIS SHOULD SOUND FAMILIAR,$200,9,"In 1975, using her grandkids' ages, a Pennsylvania woman won about $28,000 with this alliterative racetrack bet",a daily double
THIS SHOULD SOUND FAMILIAR,$400,10,"Anything that gives you a solution to a mystery, or a Parker Brothers board game",a clue
THIS SHOULD SOUND FAMILIAR,$600,11,"5-letter term used to show feelings of regret, or a Parker Brothers board game; ooo...",sorry
THIS SHOULD SOUND FAMILIAR,$800,12,"From the French for ""rotten pot"", it's any mixture of unrelated objects",potpourri
THIS SHOULD SOUND FAMILIAR,$1000,13,"Don't look now, but from the Latin for ""balcony"", it's a small platform for a public speaker",a podium
WHAT A COMEDIAN,$200,2,"Among his top 10 ""worst names for a seafood restaurant"" were ""The Gagging Deck Hand"" & ""It Might Be Flounder""",David Letterman
WHAT A COMEDIAN,$400,18,"Chris Rock doesn't think gun control is necessary, as ""long as"" these ""cost $5,000""",bullets
WHAT A COMEDIAN,$600,25,"One real headline featured on his talk show read, ""Holidays make child's dream of shiny, new ax a reality""",Jay Leno
WHAT A COMEDIAN,$800,26,"You wouldn't be wrong if you knew this comic said, ""Curiosity killed the cat, but for a while I was a suspect""",Steven Wright
WHAT A COMEDIAN,$1000,27,"This ""Brain Droppings"" author said, ""If you love someone, set them free; if they come home, set them on fire""",George Carlin
"WOULD YOU TAKE AN ""IOU""?",$400,1,Able to live both on land & in water,amphibious
"WOULD YOU TAKE AN ""IOU""?",$800,2,"Geographically, it precedes ""City"" in Iowa & ""Falls"" in South Dakota",Sioux
"WOULD YOU TAKE AN ""IOU""?",$1200,3,"Thrill to this word meaning ""performed in place of another"", from the Latin for ""substitute""",vicarious
"WOULD YOU TAKE AN ""IOU""?",$1600,4,"From the Latin for ""propitiate"", it means earnestly religious",pious
"WOULD YOU TAKE AN ""IOU""?",$2000,5,"Don't ""object"" to this 13-letter adjective that means scrupulous or meticulous",conscientious
"""FOOL""ISH SONGS",$200,14,"This happens ""Where angels fear to tread"" & ""where wisemen never go""","""Fools Rush In"""
"""FOOL""ISH SONGS",$400,15,"Sergio Mendes & Brasil '66 had a hit with this Beatles tune from the ""Magical Mystery Tour"" album","""The Fool On The Hill"""
"""FOOL""ISH SONGS",$600,16,"This question precedes ""Who never fell in love, it seems that I'm the only one that I have been thinking of""","""What Kind Of Fool Am I?"""
"""FOOL""ISH SONGS",DD: $750,17,"In 1981 Diana Ross cracked the Top Ten with a remake of this 1956 Frankie Lymon & The Teenagers hit:""Why do birds sing so gay /And lovers await the break of the day...""","""Why Do Fools Fall In Love"""
"""FOOL""ISH SONGS",$1000,18,Michael McDonald co-wrote this 1979 Doobie Brothers hit with Kenny Loggins,"""What A Fool Believes"""
APRIL,$200,7,"On April 8, 1974 this Brave hit his 715th home run",Hank Aaron
APRIL,$400,8,"It was lullaby & goodnight for this composer who died in Vienna April 3, 1897",Johannes Brahms
